two_theta,CPS,ESD
69.46,0,0
69.48,12.5,1.732
69.5,0,0
69.52,12.5,1.732
69.54,0,0
69.56,8.33,1.414
69.58,16.67,2
69.6,8.33,1.414
69.62,0,0
69.64,4.17,1
69.66,4.17,1
69.68,8.33,1.414
69.7,4.17,1
69.72,4.17,1
69.74,4.17,1
69.76,0,0
69.78,12.5,1.732
69.8,20.83,2.236
69.82,0,0
69.84,0,0
69.86,12.5,1.732
69.88,4.17,1
69.9,12.5,1.732
69.92,4.17,1
69.94,0,0
69.96,4.17,1
69.98,4.17,1
70,12.5,1.732
70.02,8.33,1.414
70.04,8.33,1.414
70.06,20.83,2.236
70.08,0,0
70.1,8.33,1.414
70.12,12.5,1.732
70.14,4.17,1
70.16,0,0
70.18,12.5,1.732
70.2,8.33,1.414
70.22,12.5,1.732
70.24,8.33,1.414
70.26,12.5,1.732
70.28,0,0
70.3,8.33,1.414
70.32,0,0
70.34,4.17,1
70.36,4.17,1
70.38,12.5,1.732
70.4,0,0
70.42,12.5,1.732
70.44,0,0
70.46,4.17,1
70.48,0,0
70.5,0,0
70.52,4.17,1
70.54,12.5,1.732
70.56,0,0
70.58,4.17,1
70.6,8.33,1.414
70.62,0,0
70.64,4.17,1
70.66,4.17,1
70.68,0,0
70.7,4.17,1
70.72,4.17,1
70.74,0,0
70.76,0,0
70.78,4.17,1
70.8,8.33,1.414
70.82,4.17,1
70.84,4.17,1
70.86,8.33,1.414
70.88,20.83,2.236
70.9,0,0
70.92,0,0
70.94,4.17,1
70.96,4.17,1
70.98,4.17,1
71,8.33,1.414
71.02,4.17,1
71.04,4.17,1
71.06,4.17,1
71.08,0,0
71.1,12.5,1.732
71.12,4.17,1
71.14,12.5,1.732
71.16,12.5,1.732
71.18,12.5,1.732
71.2,0,0
71.22,8.33,1.414
71.24,12.5,1.732
71.26,0,0
71.28,8.33,1.414
71.3,12.5,1.732
71.32,12.5,1.732
71.34,4.17,1
71.36,12.5,1.732
71.38,8.33,1.414
71.4,0,0
71.42,4.17,1
71.44,4.17,1
71.46,4.17,1
71.48,0,0
71.5,4.17,1
71.52,8.33,1.414
71.54,8.33,1.414
71.56,4.17,1
71.58,12.5,1.732
71.6,0,0
71.62,0,0
71.64,0,0
71.66,8.33,1.414
71.68,0,0
71.7,4.17,1
71.72,4.17,1
71.74,8.33,1.414
71.76,4.17,1
71.78,8.33,1.414
71.8,0,0
71.82,4.17,1
71.84,0,0
71.86,0,0
71.88,4.17,1
71.9,12.5,1.732
71.92,12.5,1.732
71.94,0,0
71.96,12.5,1.732
71.98,4.17,1
72,8.33,1.414
72.02,0,0
72.04,0,0
72.06,4.17,1
72.08,4.17,1
72.1,4.17,1
72.12,0,0
72.14,0,0
72.16,4.17,1
72.18,0,0
72.2,4.17,1
72.22,8.33,1.414
72.24,4.17,1
72.26,0,0
72.28,12.5,1.732
72.3,8.33,1.414
72.32,0,0
72.34,0,0
72.36,4.17,1
72.38,12.5,1.732
72.4,4.17,1
72.42,0,0
72.44,0,0
72.46,12.5,1.732
72.48,8.33,1.414
72.5,12.5,1.732
72.52,20.83,2.236
72.54,4.17,1
72.56,8.33,1.414
72.58,4.17,1
72.6,20.83,2.236
72.62,50,3.464
72.64,29.17,2.646
72.66,4.17,1
72.68,4.17,1
72.7,12.5,1.732
72.72,4.17,1
72.74,4.17,1
72.76,0,0
72.78,12.5,1.732
72.8,0,0
72.82,8.33,1.414
72.84,8.33,1.414
72.86,8.33,1.414
72.88,12.5,1.732
72.9,8.33,1.414
72.92,0,0
72.94,4.17,1
72.96,0,0
72.98,0,0
73,4.17,1
73.02,4.17,1
73.04,4.17,1
73.06,4.17,1
73.08,0,0
73.1,4.17,1
73.12,0,0
73.14,12.5,1.732
73.16,0,0
73.18,4.17,1
73.2,8.33,1.414
73.22,8.33,1.414
73.24,0,0
73.26,12.5,1.732
73.28,4.17,1
73.3,8.33,1.414
73.32,0,0
73.34,0,0
73.36,20.83,2.236
73.38,8.33,1.414
73.4,8.33,1.414
73.42,4.17,1
73.44,0,0
73.46,0,0
73.48,0,0
73.5,8.33,1.414
73.52,4.17,1
73.54,0,0
73.56,0,0
73.58,12.5,1.732
73.6,8.33,1.414
73.62,0,0
73.64,0,0
73.66,0,0
73.68,8.33,1.414
73.7,8.33,1.414
73.72,4.17,1
73.74,4.17,1
73.76,4.17,1
73.78,4.17,1
73.8,0,0
73.82,8.33,1.414
73.84,12.5,1.732
73.86,16.67,2
73.88,16.67,2
73.9,8.33,1.414
73.92,20.83,2.236
73.94,29.17,2.646
73.96,16.67,2
73.98,8.33,1.414
74,4.17,1
74.02,8.33,1.414
74.04,8.33,1.414
74.06,8.33,1.414
74.08,0,0
74.1,8.33,1.414
74.12,4.17,1
74.14,4.17,1
74.16,20.83,2.236
74.18,4.17,1
74.2,4.17,1
74.22,8.33,1.414
74.24,4.17,1
74.26,4.17,1
74.28,8.33,1.414
74.3,0,0
74.32,4.17,1
74.34,0,0
74.36,4.17,1
74.38,4.17,1
74.4,4.17,1
74.42,4.17,1
74.44,0,0
74.46,8.33,1.414
74.48,4.17,1
74.5,4.17,1
74.52,0,0
74.54,8.33,1.414
74.56,0,0
74.58,0,0
74.6,4.17,1
74.62,8.33,1.414
74.64,4.17,1
74.66,4.17,1
74.68,4.17,1
74.7,8.33,1.414
74.72,0,0
74.74,0,0
74.76,4.17,1
74.78,4.17,1
74.8,0,0
74.82,4.17,1
74.84,0,0
74.86,8.33,1.414
74.88,4.17,1
74.9,8.33,1.414
74.92,4.17,1
74.94,4.17,1
74.96,8.33,1.414
74.98,0,0
75,0,0
75.02,4.17,1
75.04,8.33,1.414
75.06,0,0
75.08,4.17,1
75.1,8.33,1.414
75.12,0,0
75.14,8.33,1.414
75.16,4.17,1
75.18,4.17,1
75.2,4.17,1
75.22,8.33,1.414
75.24,0,0
75.26,4.17,1
75.28,4.17,1
75.3,8.33,1.414
75.32,0,0
75.34,4.17,1
75.36,4.17,1
75.38,8.33,1.414
75.4,8.33,1.414
75.42,0,0
75.44,12.5,1.732
75.46,4.17,1
75.48,8.33,1.414
75.5,0,0
75.52,4.17,1
75.54,4.17,1
75.56,4.17,1
75.58,4.17,1
75.6,4.17,1
75.62,4.17,1
75.64,8.33,1.414
75.66,0,0
75.68,8.33,1.414
75.7,8.33,1.414
75.72,0,0
75.74,0,0
75.76,8.33,1.414
75.78,12.5,1.732
75.8,0,0
75.82,12.5,1.732
75.84,4.17,1
75.86,12.5,1.732
75.88,8.33,1.414
75.9,8.33,1.414
75.92,8.33,1.414
75.94,12.5,1.732
75.96,0,0
75.98,12.5,1.732
76,4.17,1
76.02,8.33,1.414
76.04,0,0
76.06,4.17,1
76.08,8.33,1.414
76.1,8.33,1.414
76.12,4.17,1
76.14,0,0
76.16,4.17,1
76.18,4.17,1
76.2,0,0
76.22,4.17,1
76.24,4.17,1
76.26,8.33,1.414
76.28,8.33,1.414
76.3,8.33,1.414
76.32,8.33,1.414
76.34,20.83,2.236
76.36,4.17,1
76.38,8.33,1.414
76.4,8.33,1.414
76.42,0,0
76.44,0,0
76.46,8.33,1.414
76.48,0,0
76.5,12.5,1.732
76.52,12.5,1.732
76.54,0,0
76.56,4.17,1
76.58,4.17,1
76.6,8.33,1.414
76.62,8.33,1.414
76.64,8.33,1.414
76.66,4.17,1
76.68,0,0
76.7,0,0
76.72,4.17,1
76.74,0,0
76.76,4.17,1
76.78,0,0
76.8,0,0
76.82,4.17,1
76.84,0,0
76.86,0,0
76.88,0,0
76.9,4.17,1
76.92,4.17,1
76.94,12.5,1.732
76.96,8.33,1.414
76.98,0,0
77,12.5,1.732
77.02,4.17,1
77.04,0,0
77.06,4.17,1
77.08,12.5,1.732
77.1,8.33,1.414
77.12,4.17,1
77.14,4.17,1
77.16,4.17,1
77.18,4.17,1
77.2,8.33,1.414
77.22,0,0
77.24,4.17,1
77.26,8.33,1.414
77.28,0,0
77.3,0,0
77.32,0,0
77.34,0,0
77.36,4.17,1
77.38,4.17,1
77.4,4.17,1
77.42,0,0
77.44,16.67,2
77.46,8.33,1.414
77.48,8.33,1.414
77.5,0,0
77.52,0,0
77.54,8.33,1.414
77.56,4.17,1
77.58,16.67,2
77.6,0,0
77.62,4.17,1
77.64,4.17,1
77.66,8.33,1.414
77.68,25,2.449
77.7,8.33,1.414
77.72,0,0
77.74,8.33,1.414
77.76,4.17,1
77.78,0,0
77.8,12.5,1.732
77.82,8.33,1.414
77.84,4.17,1
77.86,4.17,1
77.88,8.33,1.414
77.9,4.17,1
77.92,4.17,1
77.94,4.17,1
77.96,4.17,1
77.98,4.17,1
78,4.17,1
78.02,0,0
78.04,12.5,1.732
78.06,0,0
78.08,4.17,1
78.1,4.17,1
78.12,12.5,1.732
78.14,0,0
78.16,12.5,1.732
78.18,0,0
78.2,4.17,1
78.22,8.33,1.414
78.24,12.5,1.732
78.26,0,0
78.28,4.17,1
78.3,20.83,2.236
78.32,0,0
78.34,8.33,1.414
78.36,0,0
78.38,0,0
78.4,0,0
78.42,8.33,1.414
78.44,12.5,1.732
78.46,4.17,1
78.48,8.33,1.414
78.5,12.5,1.732
78.52,12.5,1.732
78.54,16.67,2
78.56,0,0
78.58,8.33,1.414
78.6,12.5,1.732
78.62,8.33,1.414
78.64,8.33,1.414
78.66,4.17,1
78.68,4.17,1
78.7,16.67,2
78.72,8.33,1.414
78.74,8.33,1.414
78.76,8.33,1.414
78.78,16.67,2
78.8,12.5,1.732
78.82,12.5,1.732
78.84,8.33,1.414
78.86,8.33,1.414
78.88,33.33,2.828
78.9,20.83,2.236
78.92,12.5,1.732
78.94,41.67,3.162
78.96,16.67,2
78.98,25,2.449
79,4.17,1
79.02,29.17,2.646
79.04,29.17,2.646
79.06,16.67,2
79.08,41.67,3.162
79.1,41.67,3.162
79.12,37.5,3
79.14,95.83,4.796
79.16,79.17,4.359
79.18,91.67,4.69
79.2,100,4.899
79.22,179.17,6.557
79.24,175,6.481
79.26,191.67,6.782
79.28,220.83,7.28
79.3,191.67,6.782
79.32,150,6
79.34,141.67,5.831
79.36,120.83,5.385
79.38,62.5,3.873
79.4,75,4.243
79.42,62.5,3.873
79.44,62.5,3.873
79.46,37.5,3
79.48,25,2.449
79.5,45.83,3.317
79.52,29.17,2.646
79.54,8.33,1.414
79.56,12.5,1.732
79.58,12.5,1.732
79.6,16.67,2
79.62,25,2.449
79.64,25,2.449
79.66,16.67,2
79.68,8.33,1.414
79.7,4.17,1
79.72,25,2.449
79.74,25,2.449
79.76,25,2.449
79.78,20.83,2.236
79.8,33.33,2.828
79.82,16.67,2
79.84,37.5,3
79.86,29.17,2.646
79.88,29.17,2.646
79.9,54.17,3.606
79.92,66.67,4
79.94,70.83,4.123
79.96,54.17,3.606
79.98,104.17,5
80,191.67,6.782
80.02,212.5,7.141
80.04,329.17,8.888
80.06,291.67,8.367
80.08,162.5,6.245
80.1,66.67,4
80.12,54.17,3.606
80.14,75,4.243
80.16,25,2.449
80.18,29.17,2.646
80.2,25,2.449
80.22,33.33,2.828
80.24,12.5,1.732
80.26,33.33,2.828
80.28,12.5,1.732
80.3,20.83,2.236
80.32,20.83,2.236
80.34,29.17,2.646
80.36,20.83,2.236
80.38,16.67,2
80.4,16.67,2
80.42,29.17,2.646
80.44,29.17,2.646
80.46,12.5,1.732
80.48,12.5,1.732
80.5,25,2.449
80.52,16.67,2
80.54,20.83,2.236
80.56,25,2.449
80.58,16.67,2
80.6,20.83,2.236
80.62,29.17,2.646
80.64,29.17,2.646
80.66,29.17,2.646
80.68,16.67,2
80.7,16.67,2
80.72,25,2.449
80.74,12.5,1.732
80.76,29.17,2.646
80.78,20.83,2.236
80.8,20.83,2.236
80.82,20.83,2.236
80.84,37.5,3
80.86,29.17,2.646
80.88,33.33,2.828
80.9,20.83,2.236
80.92,29.17,2.646
80.94,16.67,2
80.96,12.5,1.732
80.98,25,2.449
81,25,2.449
81.02,12.5,1.732
81.04,25,2.449
81.06,25,2.449
81.08,41.67,3.162
81.1,20.83,2.236
81.12,8.33,1.414
81.14,33.33,2.828
81.16,25,2.449
81.18,25,2.449
81.2,16.67,2
81.22,50,3.464
81.24,37.5,3
81.26,20.83,2.236
81.28,50,3.464
81.3,45.83,3.317
81.32,25,2.449
81.34,20.83,2.236
81.36,29.17,2.646
81.38,50,3.464
81.4,33.33,2.828
81.42,16.67,2
81.44,20.83,2.236
81.46,33.33,2.828
81.48,16.67,2
81.5,12.5,1.732
81.52,33.33,2.828
81.54,16.67,2
81.56,29.17,2.646
81.58,29.17,2.646
81.6,54.17,3.606
81.62,16.67,2
81.64,16.67,2
81.66,16.67,2
81.68,25,2.449
81.7,29.17,2.646
81.72,29.17,2.646
81.74,33.33,2.828
81.76,33.33,2.828
81.78,25,2.449
81.8,37.5,3
81.82,37.5,3
81.84,37.5,3
81.86,25,2.449
81.88,25,2.449
81.9,29.17,2.646
81.92,33.33,2.828
81.94,45.83,3.317
81.96,12.5,1.732
81.98,20.83,2.236
82,50,3.464
82.02,25,2.449
82.04,29.17,2.646
82.06,29.17,2.646
82.08,29.17,2.646
82.1,25,2.449
82.12,41.67,3.162
82.14,29.17,2.646
82.16,37.5,3
82.18,29.17,2.646
82.2,33.33,2.828
82.22,20.83,2.236
82.24,16.67,2
82.26,29.17,2.646
82.28,33.33,2.828
82.3,37.5,3
82.32,41.67,3.162
82.34,20.83,2.236
82.36,25,2.449
82.38,41.67,3.162
82.4,20.83,2.236
82.42,33.33,2.828
82.44,25,2.449
82.46,16.67,2
82.48,20.83,2.236
82.5,29.17,2.646
82.52,20.83,2.236
82.54,79.17,4.359
82.56,25,2.449
82.58,33.33,2.828
82.6,45.83,3.317
82.62,33.33,2.828
82.64,16.67,2
82.66,58.33,3.742
82.68,29.17,2.646
82.7,25,2.449
82.72,58.33,3.742
82.74,25,2.449
82.76,58.33,3.742
82.78,70.83,4.123
82.8,50,3.464
82.82,37.5,3
82.84,33.33,2.828
82.86,75,4.243
82.88,120.83,5.385
82.9,87.5,4.583
82.92,83.33,4.472
82.94,95.83,4.796
82.96,66.67,4
82.98,145.83,5.916
83,120.83,5.385
83.02,166.67,6.325
83.04,125,5.477
83.06,179.17,6.557
83.08,220.83,7.28
83.1,187.5,6.708
83.12,229.17,7.416
83.14,304.17,8.544
83.16,250,7.746
83.18,304.17,8.544
83.2,425,10.1
83.22,500,10.954
83.24,637.5,12.369
83.26,695.83,12.923
83.28,750,13.416
83.3,1108.33,16.31
83.32,1312.5,17.748
83.34,1683.33,20.1
83.36,2120.83,22.561
83.38,3479.17,28.896
83.4,6162.5,38.458
83.42,8716.67,45.738
83.44,11162.5,51.759
83.46,10300,49.719
83.48,7375,42.071
83.5,4804.17,33.956
83.52,3291.67,28.107
83.54,2412.5,24.062
83.56,2091.67,22.405
83.58,1800,20.785
83.6,1875,21.213
83.62,2291.67,23.452
83.64,2758.33,25.729
83.66,3954.17,30.806
83.68,5266.67,35.553
83.7,5562.5,36.538
83.72,4583.33,33.166
83.74,3179.17,27.622
83.76,2195.83,22.956
83.78,1620.83,19.723
83.8,1200,16.971
83.82,950,15.1
83.84,662.5,12.61
83.86,612.5,12.124
83.88,516.67,11.136
83.9,404.17,9.849
83.92,337.5,9
83.94,250,7.746
83.96,208.33,7.071
83.98,183.33,6.633
84,166.67,6.325
84.02,150,6
84.04,104.17,5
84.06,150,6
84.08,150,6
84.1,120.83,5.385
84.12,129.17,5.568
84.14,58.33,3.742
84.16,116.67,5.292
84.18,58.33,3.742
84.2,95.83,4.796
84.22,87.5,4.583
84.24,50,3.464
84.26,95.83,4.796
84.28,75,4.243
84.3,45.83,3.317
84.32,83.33,4.472
84.34,75,4.243
84.36,33.33,2.828
84.38,62.5,3.873
84.4,58.33,3.742
84.42,79.17,4.359
84.44,41.67,3.162
84.46,54.17,3.606
84.48,54.17,3.606
84.5,45.83,3.317
84.52,58.33,3.742
84.54,20.83,2.236
84.56,37.5,3
84.58,62.5,3.873
84.6,33.33,2.828
84.62,45.83,3.317
84.64,62.5,3.873
84.66,62.5,3.873
84.68,37.5,3
84.7,33.33,2.828
84.72,33.33,2.828
84.74,41.67,3.162
84.76,33.33,2.828
84.78,50,3.464
84.8,29.17,2.646
84.82,62.5,3.873
84.84,54.17,3.606
84.86,58.33,3.742
84.88,50,3.464
84.9,75,4.243
84.92,37.5,3
84.94,54.17,3.606
84.96,50,3.464
84.98,37.5,3
85,41.67,3.162
85.02,58.33,3.742
85.04,50,3.464
85.06,58.33,3.742
85.08,83.33,4.472
85.1,41.67,3.162
85.12,79.17,4.359
85.14,45.83,3.317
85.16,12.5,1.732
85.18,66.67,4
85.2,45.83,3.317
85.22,33.33,2.828
85.24,62.5,3.873
85.26,50,3.464
85.28,33.33,2.828
85.3,54.17,3.606
85.32,37.5,3
85.34,54.17,3.606
85.36,70.83,4.123
85.38,75,4.243
85.4,33.33,2.828
85.42,58.33,3.742
85.44,75,4.243
85.46,66.67,4
85.48,70.83,4.123
85.5,50,3.464
85.52,70.83,4.123
85.54,91.67,4.69
85.56,100,4.899
85.58,79.17,4.359
85.6,87.5,4.583
85.62,100,4.899
85.64,29.17,2.646
85.66,95.83,4.796
85.68,145.83,5.916
85.7,133.33,5.657
85.72,116.67,5.292
85.74,120.83,5.385
85.76,129.17,5.568
85.78,150,6
85.8,170.83,6.403
85.82,229.17,7.416
85.84,354.17,9.22
85.86,420.83,10.05
85.88,462.5,10.536
85.9,600,12
85.92,800,13.856
85.94,1154.17,16.643
85.96,1379.17,18.193
85.98,1725,20.347
86,1429.17,18.52
86.02,1445.83,18.628
86.04,991.67,15.427
86.06,787.5,13.748
86.08,570.83,11.705
86.1,470.83,10.63
86.12,341.67,9.055
86.14,291.67,8.367
86.16,233.33,7.483
86.18,179.17,6.557
86.2,158.33,6.164
86.22,141.67,5.831
86.24,141.67,5.831
86.26,112.5,5.196
86.28,145.83,5.916
86.3,120.83,5.385
86.32,87.5,4.583
86.34,83.33,4.472
86.36,75,4.243
86.38,137.5,5.745
86.4,100,4.899
86.42,100,4.899
86.44,62.5,3.873
86.46,112.5,5.196
86.48,100,4.899
86.5,95.83,4.796
86.52,75,4.243
86.54,95.83,4.796
86.56,145.83,5.916
86.58,104.17,5
86.6,120.83,5.385
86.62,125,5.477
86.64,95.83,4.796
86.66,129.17,5.568
86.68,179.17,6.557
86.7,141.67,5.831
86.72,187.5,6.708
86.74,212.5,7.141
86.76,250,7.746
86.78,416.67,10
86.8,370.83,9.434
86.82,258.33,7.874
86.84,270.83,8.062
86.86,262.5,7.937
86.88,175,6.481
86.9,154.17,6.083
86.92,133.33,5.657
86.94,95.83,4.796
86.96,141.67,5.831
86.98,116.67,5.292
87,100,4.899
87.02,120.83,5.385
87.04,87.5,4.583
87.06,145.83,5.916
87.08,108.33,5.099
87.1,104.17,5
87.12,75,4.243
87.14,62.5,3.873
87.16,100,4.899
87.18,95.83,4.796
87.2,162.5,6.245
87.22,75,4.243
87.24,91.67,4.69
87.26,79.17,4.359
87.28,112.5,5.196
87.3,75,4.243
87.32,87.5,4.583
87.34,116.67,5.292
87.36,87.5,4.583
87.38,75,4.243
87.4,83.33,4.472
87.42,83.33,4.472
87.44,83.33,4.472
87.46,120.83,5.385
87.48,100,4.899
87.5,95.83,4.796
87.52,75,4.243
87.54,79.17,4.359
87.56,104.17,5
87.58,62.5,3.873
87.6,79.17,4.359
87.62,87.5,4.583
87.64,91.67,4.69
87.66,70.83,4.123
87.68,83.33,4.472
87.7,100,4.899
87.72,91.67,4.69
87.74,75,4.243
87.76,87.5,4.583
87.78,91.67,4.69
87.8,100,4.899
87.82,95.83,4.796
87.84,75,4.243
87.86,120.83,5.385
87.88,70.83,4.123
87.9,150,6
87.92,129.17,5.568
87.94,87.5,4.583
87.96,108.33,5.099
87.98,79.17,4.359
88,62.5,3.873
88.02,116.67,5.292
88.04,100,4.899
88.06,83.33,4.472
88.08,108.33,5.099
88.1,100,4.899
88.12,104.17,5
88.14,145.83,5.916
88.16,100,4.899
88.18,95.83,4.796
88.2,116.67,5.292
88.22,116.67,5.292
88.24,79.17,4.359
88.26,112.5,5.196
88.28,83.33,4.472
88.3,108.33,5.099
88.32,137.5,5.745
88.34,120.83,5.385
88.36,133.33,5.657
88.38,108.33,5.099
88.4,104.17,5
88.42,112.5,5.196
88.44,95.83,4.796
88.46,104.17,5
88.48,112.5,5.196
88.5,112.5,5.196
88.52,104.17,5
88.54,70.83,4.123
88.56,100,4.899
88.58,129.17,5.568
88.6,133.33,5.657
88.62,100,4.899
88.64,137.5,5.745
88.66,120.83,5.385
88.68,116.67,5.292
88.7,87.5,4.583
88.72,133.33,5.657
88.74,100,4.899
88.76,133.33,5.657
88.78,100,4.899
88.8,104.17,5
88.82,54.17,3.606
88.84,91.67,4.69
88.86,108.33,5.099
88.88,104.17,5
88.9,125,5.477
88.92,100,4.899
88.94,104.17,5
88.96,116.67,5.292
88.98,145.83,5.916
89,116.67,5.292
89.02,95.83,4.796
89.04,108.33,5.099
89.06,100,4.899
89.08,112.5,5.196
89.1,104.17,5
89.12,129.17,5.568
89.14,104.17,5
89.16,58.33,3.742
89.18,100,4.899
89.2,120.83,5.385
89.22,116.67,5.292
89.24,154.17,6.083
89.26,112.5,5.196
89.28,112.5,5.196
89.3,112.5,5.196
89.32,145.83,5.916
89.34,125,5.477
89.36,104.17,5
89.38,166.67,6.325
89.4,129.17,5.568
89.42,91.67,4.69
89.44,154.17,6.083
89.46,129.17,5.568
89.48,116.67,5.292
89.5,158.33,6.164
89.52,175,6.481
89.54,179.17,6.557
89.56,162.5,6.245
89.58,120.83,5.385
89.6,141.67,5.831
89.62,191.67,6.782
89.64,129.17,5.568
89.66,183.33,6.633
89.68,162.5,6.245
89.7,120.83,5.385
89.72,170.83,6.403
89.74,179.17,6.557
89.76,179.17,6.557
89.78,162.5,6.245
89.8,162.5,6.245
89.82,191.67,6.782
89.84,166.67,6.325
89.86,216.67,7.211
89.88,216.67,7.211
89.9,225,7.348
89.92,212.5,7.141
89.94,266.67,8
89.96,266.67,8
89.98,212.5,7.141
90,229.17,7.416
